,Nama Panti,Tipe Panti,Jenis Yayasan,Jumlah Berita Kegiatan,Tanggal Gabung,Data Terakhir Update,Nama Pemilik,Alamat,Description,Kebutuhan,Tag Kebutuhan,Program,Tag Program,Jumlah Pengurus,Jumlah Anak,Laki-laki,Perempuan,Jumlah Tag Kebutuhan,Jumlah Tag Program,Description_clean,Kebutuhan_clean,Program_clean,text
312,Panti Danukusumo,Lembaga Kesejahteraan Sosial Anak,['Panti Anak Mukim'],0,05 Dec 2018,03 Mar 2023,Jainudin,"Jalan Timbangan, Rw. II, Kliwonan, Banyu Urip, Kabupaten Purworejo, Jawa Tengah, Indonesia","LKSA Panti Asuhan Yatim Muhammadiyah Danukusumo Purworejo berdiri pada tanggal 15 Juli 2018. Anak asuh panti ini berjumlah 38 orang, dimana 15 anak yatim/piatu dan 33 anak terlantar. Panti ini berlokasi di Jalan Timbangan RT 001/ Rw IV, No 09, Kelurahan Kledung Kradenan, Kecamatan Banyuurip, Kabupaten Purworejo.","Meja Belajar, Alamari Baju, Alat Makan, Pakaian, dan Sembako","['Makanan', 'Infrastruktur']",,['Pendidikan'],3.0,38,26.0,12.0,1,1,lksa panti asuhan yatim muhammadiyah danukusumo purworejo berdiri tanggal 15 juli 2018 anak asuh panti 38 orang dimana 15 anak yatim piatu 33 anak terlantar panti berlokasi jalan timbangan rt 001 rw iv no 09 kelurahan kledung kradenan kecamatan banyuurip kabupaten purworejo,meja belajar alamari baju alat makan pakaian sembako,,Panti Danukusumo lksa panti asuhan yatim muhammadiyah danukusumo purworejo berdiri tanggal 15 juli 2018 anak asuh panti 38 orang dimana 15 anak yatim piatu 33 anak terlantar panti berlokasi jalan timbangan rt 001 rw iv no 09 kelurahan kledung kradenan kecamatan banyuurip kabupaten purworejo meja belajar alamari baju alat makan pakaian sembako  Makanan Infrastruktur
313,Panti Darmo Yuwono,Lembaga Kesejahteraan Sosial Anak,['Panti Anak Mukim'],0,06 Dec 2018,03 Mar 2023,H. Sujiatun,"Jl. Supriyadi No.2, Sokayasa, Purwokerto Wetan, Purwokerto Tim., Kabupaten Banyumas, Jawa Tengah 53146, Indonesia","Panti asuhan Dharmo Yuwono Purwokerto sudah berdiri sejak tahun 1955 dan didirikan oleh yayasan Dharmo yuwono. Ny. H Kamaru Samsi (Ny H. Sujiatun) Beliau merupakan pimpinan panti asuhan ini beliau juga yang mengurus anak-anak di panti ini, di panti ini ada 45 anak asuh yang terdiri dari 11 anak putra dan 34 anak putri mereka juga datang dari berbagai daerah yang ada di kabupaten banyumas ini namun lebih banyak anak yang dari daerah purwokerto sendiri. (sumber: http://pantiasuhancenter.blogspot.com/2015/03/panti-asuhan-dharmo-yuwono-purwokerto.html)","Sepatu, Lemari, Seprai, Dan Bantal
","['Makanan', 'Fasilitas', 'Infrastruktur']","Mengaji , Belajar Tajwid, Hafalan","['Pendidikan', 'Keagamaan']",10.0,45,11.0,34.0,2,2,panti asuhan dharmo yuwono purwokerto berdiri 1955 didirikan yayasan dharmo yuwono ny h kamaru samsi ny h sujiatun beliau pimpinan panti asuhan beliau mengurus anak anak panti panti 45 anak asuh 11 anak putra 34 anak putri daerah kabupaten banyumas anak daerah purwokerto sumber,sepatu lemari seprai bantal,mengaji belajar tajwid hafalan,Panti Darmo Yuwono panti asuhan dharmo yuwono purwokerto berdiri 1955 didirikan yayasan dharmo yuwono ny h kamaru samsi ny h sujiatun beliau pimpinan panti asuhan beliau mengurus anak anak panti panti 45 anak asuh 11 anak putra 34 anak putri daerah kabupaten banyumas anak daerah purwokerto sumber sepatu lemari seprai bantal mengaji belajar tajwid hafalan Makanan Fasilitas Infrastruktur
314,Panti Kuncup Mas Baturraden,Lembaga Kesejahteraan Sosial Anak,['Panti Anak Mukim'],0,06 Dec 2018,02 Mar 2023,,"Baturraden, Banyumas Regency, Central Java, Indonesia",,"Kipas Angin, Korden, Rak Buku, Lemari Dan Pintu, Biaya Untuk Pendidikan
","['Kesehatan', 'Infrastruktur']","Pembiayaan Pendidikan
Mengaji , Belajar Tajwid, Tahlil Dan
Tadarus
","['Pendidikan', 'Keagamaan']",4.0,32,20.0,12.0,2,2,,kipas angin korden rak buku lemari pintu biaya pendidikan,pembiayaan pendidikan mengaji belajar tajwid tahlil tadarus,Panti Kuncup Mas Baturraden  kipas angin korden rak buku lemari pintu biaya pendidikan pembiayaan pendidikan mengaji belajar tajwid tahlil tadarus Kesehatan Infrastruktur
315,Panti Asuhan Putri Babussalam Banyumas,Lembaga Kesejahteraan Sosial Anak,['Panti Anak Mukim'],0,06 Dec 2018,02 Mar 2023,,"No. 23, Jl. Jaya Serayu, Karangkamal, Kalisube, Banyumas Sub-District, Banyumas Regency, Central Java 53192, Indonesia",,"- SPP anak asuh
- prasarana belajar
-","['Kesehatan', 'Infrastruktur']",,"['Pendidikan', 'Keagamaan']",4.0,16,10.0,6.0,2,2,,spp anak asuh prasarana belajar,,Panti Asuhan Putri Babussalam Banyumas  spp anak asuh prasarana belajar  Kesehatan Infrastruktur
316,Panti Ziyadatul Khairi,Lembaga Kesejahteraan Sosial Anak,[''],0,06 Dec 2018,03 Mar 2023,,"Perumahan Ketapang Indah D4 No. 3, Jl. Suparjo Rustam, Sokaraja Kulon, Sokaraja, Dusun III, Sokaraja Kulon, Sokaraja, Kabupaten Banyumas, Jawa Tengah 53181, Indonesia",,- ruang MCK,"['Makanan', 'Infrastruktur']",,['Keagamaan'],6.0,17,7.0,10.0,1,1,,ruang mck,,Panti Ziyadatul Khairi  ruang mck  Makanan Infrastruktur
317,Panti Karya Putra Indonesia Mandiri,Lembaga Kesejahteraan Sosial Anak,['Panti Anak Non Mukim'],8,07 Dec 2018,03 Mar 2023,Ipit Supiati,"JL. Percetakan Negara 9A, No. 74, RT.05 RW.04, Rawasari, Cempaka Putih, 10570, RT.10/RW.4, Rawasari, Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570, Indonesia","Sebuah yayasan non panti yang bergerak di bidang sosial pedidikan membantu masyarakat kurang mampu agar terpenuhi kebutuhan pokok, pendidikan dan agama","NPSAA Putra Mandiri telah mengalami Kebakaran sejak tgl 29 Juni 2018, dan mengalami kerugian berupa materiel  yng belum bisa dinalaikan dengan jumlah uang, namun kehilangan barang berupa barang inventaris serta berkas dokumen penting, yang perlu memerluka",['Infrastruktur'],"-Kegiatan layanan Sosial dgn memberikan bantuan Sembako serta nutrisi (permakanan)
-Kegiatan bimbingan keagamaan, bentuk pendidikan TPQ (Taman Pendidikan AlQur;an)
-Layanan kegiatan Keterampilan dan kursus-kursus
","['Pendidikan', 'Keagamaan', 'Pembinaan Masyarakat']",10.0,72,30.0,42.0,3,3,yayasan non panti bergerak bidang sosial pedidikan membantu masyarakat terpenuhi kebutuhan pokok pendidikan agama,npsaa putra mandiri mengalami kebakaran tgl 29 juni 2018 mengalami kerugian materiel yng dinalaikan uang kehilangan barang barang inventaris berkas dokumen memerluka,kegiatan layanan sosial dgn bantuan sembako nutrisi permakanan kegiatan bimbingan keagamaan bentuk pendidikan tpq taman pendidikan alqur an layanan kegiatan keterampilan kursus kursus,Panti Karya Putra Indonesia Mandiri yayasan non panti bergerak bidang sosial pedidikan membantu masyarakat terpenuhi kebutuhan pokok pendidikan agama npsaa putra mandiri mengalami kebakaran tgl 29 juni 2018 mengalami kerugian materiel yng dinalaikan uang kehilangan barang barang inventaris berkas dokumen memerluka kegiatan layanan sosial dgn bantuan sembako nutrisi permakanan kegiatan bimbingan keagamaan bentuk pendidikan tpq taman pendidikan alqur an layanan kegiatan keterampilan kursus kursus Infrastruktur
320,Panti Asuhan Kuncup Mas Banyumas,Lembaga Kesejahteraan Sosial Anak,['Panti Anak Non Mukim'],0,11 Dec 2018,02 Mar 2023,,"Jl. Masjid, Purwokerto, Sokanegara, Purwokerto Tim., Kabupaten Banyumas, Jawa Tengah 53115, Indonesia",,"- Uang Saku
- Kebutuhan Sekoah
- Atap Yang Bocor","['Makanan', 'Kesehatan', 'Infrastruktur']","- Pengajian
- Pembiayaan sekolah","['Pendidikan', 'Keagamaan']",8.0,59,39.0,20.0,2,2,,uang saku kebutuhan sekoah atap bocor,pengajian pembiayaan sekolah,Panti Asuhan Kuncup Mas Banyumas  uang saku kebutuhan sekoah atap bocor pengajian pembiayaan sekolah Makanan Kesehatan Infrastruktur
321,Panti Muhamamdiyah Purwokerto,Lembaga Kesejahteraan Sosial Anak,['Panti Anak Non Mukim'],0,13 Dec 2018,01 Mar 2023,,"Jl. Dr. Angka No.41, Karangjengkol, Sokanegara, Purwokerto Tim., Kabupaten Banyumas, Jawa Tengah 53115, Indonesia",,,"['Makanan', 'Kesehatan']",,"['Pendidikan', 'Keagamaan']",1.0,48,28.0,20.0,2,2,,,,Panti Muhamamdiyah Purwokerto    Makanan Kesehatan
322,Panti Pelayanan Sosial Lanjut Usia Saudagaran Banyumas,Lembaga Kesejahteraan Sosial Anak,['Penyantunan Jompo'],0,13 Dec 2018,03 Mar 2023,,"Jl. Karangsawah, Kedungter Kidul, Kedunguter, Kec. Banyumas, Kabupaten Banyumas, Jawa Tengah 53192, Indonesia",,,"['Kesehatan', 'Infrastruktur']",,['Pendidikan'],17.0,84,44.0,40.0,1,1,,,,Panti Pelayanan Sosial Lanjut Usia Saudagaran Banyumas    Kesehatan Infrastruktur
323,Panti Muhammadiyah Sukaraja,Lembaga Kesejahteraan Sosial Anak,['Panti Anak Mukim'],0,14 Dec 2018,03 Mar 2023,,Pam Sokaraja kk Bangkang no.29,,,['Infrastruktur'],,"['Pendidikan', 'Keagamaan']",2.0,20,10.0,10.0,2,2,,,,Panti Muhammadiyah Sukaraja    Infrastruktur
324,Panti Al Amin Dipo Soedarmo,Lembaga Kesejahteraan Sosial Anak,['Panti Anak Mukim'],0,18 Dec 2018,03 Mar 2023,,"Gg. Sukun No.344, Kober, Purwokerto Bar., Kabupaten Banyumas, Jawa Tengah 53132, Indonesia",,"- Biaya pendidikan
- infrstruktur panti asuhan","['Makanan', 'Kesehatan']",,"['Pendidikan', 'Keagamaan']",4.0,15,8.0,7.0,2,2,,biaya pendidikan infrstruktur panti asuhan,,Panti Al Amin Dipo Soedarmo  biaya pendidikan infrstruktur panti asuhan  Makanan Kesehatan
325,Panti Asuhan Tunas Harapan,Lembaga Kesejahteraan Sosial Anak,[''],0,20 Dec 2018,03 Mar 2023,,"Jl. Kenari No.7, Muja Muju, Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55165, Indonesia",,,[''],,[''],0.0,0,0.0,0.0,1,1,,,,Panti Asuhan Tunas Harapan    
326,Panti Asuhan Rekso Putro Bagian Putri,Lembaga Kesejahteraan Sosial Anak,[''],0,20 Dec 2018,03 Mar 2023,Endang,"Klitren, Gondokusuman, Yogyakarta City, Special Region of Yogyakarta 55222, Indonesia",,,[''],,[''],0.0,0,0.0,0.0,1,1,,,,Panti Asuhan Rekso Putro Bagian Putri    
327,Panti Asuhan Aisyiyah Serangan,Lembaga Kesejahteraan Sosial Anak,['Panti Anak Mukim'],0,20 Dec 2018,03 Mar 2023,Widya,"Serangan, Jl. Munir No.109, Notoprajan, Ngampilan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55262","Panti Asuhan ini merupakan panti asuhan dibawah Aisyiyah Muhammadiyah Serangan, Yogyakarta","- Sembako
- Alat Mandi
- biaya sekolah","['Makanan', 'Kesehatan']",Pembiayaan sekolah formal,"['Pendidikan', 'Keterampilan']",20.0,55,1.0,54.0,2,2,panti asuhan panti asuhan dibawah aisyiyah muhammadiyah serangan yogyakarta,sembako alat mandi biaya sekolah,pembiayaan sekolah formal,Panti Asuhan Aisyiyah Serangan panti asuhan panti asuhan dibawah aisyiyah muhammadiyah serangan yogyakarta sembako alat mandi biaya sekolah pembiayaan sekolah formal Makanan Kesehatan
328,Panti Asuhan Wiloso Projo,Lembaga Kesejahteraan Sosial Anak,[''],0,20 Dec 2018,01 Mar 2023,Mintas,"Jl. Gowongan lor JT III No. 211, Gowongan Jetis, Sosromenduran, Gedong Tengen, Gowongan, Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55232, Indonesia",,,[''],,[''],0.0,0,0.0,0.0,1,1,,,,Panti Asuhan Wiloso Projo    
329,Panti Asuhan Helen Keller,Lembaga Kesejahteraan Sosial Anak,[''],0,20 Dec 2018,03 Mar 2023,Heri,"Jl. R. E. Martadinata No.114, Wirobrajan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55252, Indonesia",,,[''],,[''],0.0,0,0.0,0.0,1,1,,,,Panti Asuhan Helen Keller    
330,Panti Asuhan Putra Islam Giwangan,Lembaga Kesejahteraan Sosial Anak,['Panti Anak Mukim'],0,20 Dec 2018,03 Mar 2023,Novi,"Giwangan VII No. 2 RT2 / RW1, Umbulharjo, Giwangan, Yogyakarta, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55163, Indonesia",,,[''],,[''],0.0,0,0.0,0.0,1,1,,,,Panti Asuhan Putra Islam Giwangan    
331,Panti Asuhan Putri Islam Giwangan,Lembaga Kesejahteraan Sosial Anak,"['Panti Anak Mukim', 'Panti Anak Non Mukim']",0,20 Dec 2018,03 Mar 2023,Endang Sri Listyowati,"Jl. Pramuka no. 68, Giwangan, umbulharjo, Daerah Istimewa Yogyakarta","Panti berdiri sejak tahun  1971 dengan Ibu Endang Sri Listyowati selaku pimpinan dan sudah mendapat akreditasi A. Panti ini menaungi anak-anak yatim piatu, yatim, piatu, dan dhuafa (brokenhome). Hampir semua pengurus sudah bersertifikat PKS. Sistem kamar anak dibuat los dengan menggunakan kasur tingkat; per ruangan ada 10 kasur. Terdapat 12 kamar mandi (6 kamar mandi & 6 WC). Dalam segi peralatan kamar mandi, setiap anak per bulannya mendapatkan pasta gigi, sabun, sampo, dan pembalut gratis. Selain itu, juga ada fasilitas elektronik berupa TV, 5 komputer, dan 12 laptop untuk sekolah daring anak asuh.
Untuk makan sehari-hari sistemnya 3x sehari dengan dimasakkan oleh juru masak. Tapi hari Sabtu & Minggu yang masak adalah anak panti sendiri. 
Panti sudah memiliki donatur tetap, yakni dari perusahaan hotel, toko, dan beberapa perorangan. Pengurus biasanya mengambil sendiri dananya ke rumah mereka 1x tiap bulan. 
Panti belum mengadakan kotak amal. Tetapi sejauh ini sudah ada rencana ingin meletakkan kotaknya di tempat para alumni-alumni panti saja.",Sembako (khususnya susu) supaya anak bisa minum susu setiap hari.,"['Makanan', 'Infrastruktur']","1. Pembiayaan SPP anak 
2. Balai Latihan Kerja anak (membuat kue kering, jamu, menjahit, membuat bros, gelang manik2, bunga kertas)
3. Santunan anak & lansia setiap bulan
4. Tahfidz Quran tiap hari
5. Koperasi kecil
6. Usaha kost 10 kamar","['Pendidikan', 'Keagamaan', 'Keterampilan']",20.0,105,0.0,105.0,3,3,panti berdiri 1971 endang sri listyowati pimpinan akreditasi a panti menaungi anak anak yatim piatu yatim piatu dhuafa brokenhome pengurus bersertifikat pks sistem kamar anak los kasur tingkat ruangan 10 kasur 12 kamar mandi 6 kamar mandi 6 wc segi peralatan kamar mandi anak bulannya pasta gigi sabun sampo pembalut gratis fasilitas elektronik tv 5 komputer 12 laptop sekolah daring anak asuh makan sehari sistemnya 3x sehari dimasakkan juru masak sabtu minggu masak anak panti panti memiliki donatur perusahaan hotel toko perorangan pengurus mengambil dananya rumah 1x panti mengadakan kotak amal rencana meletakkan kotaknya alumni alumni panti,sembako susu anak minum susu,1 pembiayaan spp anak 2 balai latihan kerja anak kue kering jamu menjahit bros gelang manik2 bunga kertas 3 santunan anak lansia 4 tahfidz quran 5 koperasi 6 usaha kost 10 kamar,Panti Asuhan Putri Islam Giwangan panti berdiri 1971 endang sri listyowati pimpinan akreditasi a panti menaungi anak anak yatim piatu yatim piatu dhuafa brokenhome pengurus bersertifikat pks sistem kamar anak los kasur tingkat ruangan 10 kasur 12 kamar mandi 6 kamar mandi 6 wc segi peralatan kamar mandi anak bulannya pasta gigi sabun sampo pembalut gratis fasilitas elektronik tv 5 komputer 12 laptop sekolah daring anak asuh makan sehari sistemnya 3x sehari dimasakkan juru masak sabtu minggu masak anak panti panti memiliki donatur perusahaan hotel toko perorangan pengurus mengambil dananya rumah 1x panti mengadakan kotak amal rencana meletakkan kotaknya alumni alumni panti sembako susu anak minum susu 1 pembiayaan spp anak 2 balai latihan kerja anak kue kering jamu menjahit bros gelang manik2 bunga kertas 3 santunan anak lansia 4 tahfidz quran 5 koperasi 6 usaha kost 10 kamar Makanan Infrastruktur
332,Rumah Singgah Bumi Damai ,Lembaga Kesejahteraan Sosial Anak,[''],0,20 Dec 2018,01 Mar 2023,,"Gg. Janoko, Purbayan, Kotagede, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55173, Indonesia",,,[''],,[''],0.0,0,0.0,0.0,1,1,,,,Rumah Singgah Bumi Damai     
333,Panti Yatim Putra Muhammadiyah Yogyakarta,Lembaga Kesejahteraan Sosial Anak,['Panti Anak Mukim'],0,20 Dec 2018,03 Mar 2023,Nugroho,"Jalan Lowanu MG III No.1361, Brontokusuman, Kec. Mergangsan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55153",,,[''],,[''],0.0,0,0.0,0.0,1,1,,,,Panti Yatim Putra Muhammadiyah Yogyakarta    
335,Panti Asuhan Ibadah Bunda,Lembaga Kesejahteraan Sosial Anak,[''],0,20 Dec 2018,03 Mar 2023,Cahyana,"Bangirejo KW l/50, Karangwaru, Tegalrejo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55241, Indonesia",,,[''],,[''],0.0,0,0.0,0.0,1,1,,,,Panti Asuhan Ibadah Bunda    
336,Lembaga Pendidikan dan Sosial Al Ikhlas,Lembaga Kesejahteraan Sosial Anak,['Panti Anak Mukim'],0,02 Jan 2019,01 Mar 2023,Sugiono,"Jl. Parangargo, Wagir, Sidorahayu, Wagir, Malang, Jawa Timur 65158,",,kebutuhan ruang kelas,['Infrastruktur'],,"['Pendidikan', 'Keagamaan']",2.0,13,13.0,0.0,2,2,,kebutuhan ruang kelas,,Lembaga Pendidikan dan Sosial Al Ikhlas  kebutuhan ruang kelas  Infrastruktur
339,Panti Ummul Mahmudatul Azhar,Lembaga Kesejahteraan Sosial Anak,['Panti Anak Mukim'],0,03 Jan 2019,03 Mar 2023,Ucu Ishak Farid,"Dsn. Krenggan RT. 002 RW. 002 Ds. Kauman Kec. Ngoro Kab. Jombang, Jawa Timur 61473, Indonesia","Panti Asuhan Ummul Mahmudatul Azhar merupakan salah satu Lembaga
Kesejahteraan Sosial (LKS) di bawah naungan Yayasan Ummul Mahmudatul Azhar
yang menampung dan membina anak yatim/piatu, yatim piatu, dhuafa, terlantar,
dan anak dengan kecacatan/Anak Berkebutuhan Khusus (ABK) yang memerlukan
perlindungan dan asuhan.
Sebagian besar anak dalam asuhan Panti Asuhan Ummul Mahmudatul Azhar baik di
dalam LKS maupun di luar LKS adalah Anak Berkebutuhan Khusus (ABK) yang
meliputi tuna netra, tuna rungu wicara, tuna grahita, tuna daksa, tuna ganda, autis,
serta bibir sumbing. Terdapat pula beberapa anak yang normal, namun terlantar
(tidak memiliki atau tidak dikehendaki keluarga sebagaimana keluarga merupakan
tempat bernaung), serta mengalami ketidakberuntungan dalam segi ekonomi.
","sembako, pampers pants balita, anak-anak, dan dewasa, obat-obatan (terutama obat batuk, pilek, dan demam), susu usia 6 bulan ke atas dan anak-anak","['Makanan', 'Fasilitas', 'Kesehatan', 'Infrastruktur', 'Pendidikan', 'Kegiatan']","Panti Asuhan Ummul Mahmudatul Azhar memiliki program kerja dalam bidang pendidikan, keagamaan, kehumasan, sosial dan kemanusiaan, kesehatan, sumber daya manusia (SDM), bimbingan konseling, ekonomi, dan perencanaan dan pembangunan.","['Pendidikan', 'Keagamaan', 'Keterampilan', 'Minat/Bakat', 'Pembinaan Masyarakat']",8.0,62,40.0,22.0,5,5,panti asuhan ummul mahmudatul azhar salah lembaga kesejahteraan sosial lks naungan yayasan ummul mahmudatul azhar menampung membina anak yatim piatu yatim piatu dhuafa terlantar anak kecacatan anak berkebutuhan khusus abk perlindungan asuhan anak asuhan panti asuhan ummul mahmudatul azhar lks lks anak berkebutuhan khusus abk meliputi tuna netra tuna rungu wicara tuna grahita tuna daksa tuna ganda autis bibir sumbing anak normal terlantar memiliki dikehendaki keluarga keluarga bernaung mengalami ketidakberuntungan segi ekonomi,sembako pampers pants balita anak anak dewasa obat obatan obat batuk pilek demam susu usia 6 anak anak,panti asuhan ummul mahmudatul azhar memiliki program kerja bidang pendidikan keagamaan kehumasan sosial kemanusiaan kesehatan sumber daya manusia sdm bimbingan konseling ekonomi perencanaan pembangunan,Panti Ummul Mahmudatul Azhar panti asuhan ummul mahmudatul azhar salah lembaga kesejahteraan sosial lks naungan yayasan ummul mahmudatul azhar menampung membina anak yatim piatu yatim piatu dhuafa terlantar anak kecacatan anak berkebutuhan khusus abk perlindungan asuhan anak asuhan panti asuhan ummul mahmudatul azhar lks lks anak berkebutuhan khusus abk meliputi tuna netra tuna rungu wicara tuna grahita tuna daksa tuna ganda autis bibir sumbing anak normal terlantar memiliki dikehendaki keluarga keluarga bernaung mengalami ketidakberuntungan segi ekonomi sembako pampers pants balita anak anak dewasa obat obatan obat batuk pilek demam susu usia 6 anak anak panti asuhan ummul mahmudatul azhar memiliki program kerja bidang pendidikan keagamaan kehumasan sosial kemanusiaan kesehatan sumber daya manusia sdm bimbingan konseling ekonomi perencanaan pembangunan Makanan Fasilitas Kesehatan Infrastruktur Pendidikan Kegiatan
340,Rumah Yatim Piatu Ummi Ikhlas,Lembaga Kesejahteraan Sosial Anak,['Panti Anak Mukim'],0,03 Jan 2019,03 Mar 2023,Syamsatul Muniri,"Jl. Sk Syahbudin RT 04, Mayang Mangurai, Kota Baru, Kota Jambi, Jambi, Indonesia",Panti Asuhan di Jambi,Kebutuhan makan sehari-hari,['Makanan'],Pendidikan anak-anak,['Pendidikan'],1.0,25,15.0,10.0,1,1,panti asuhan jambi,kebutuhan makan sehari,pendidikan anak anak,Rumah Yatim Piatu Ummi Ikhlas panti asuhan jambi kebutuhan makan sehari pendidikan anak anak Makanan
341,Nurul Huda,Lembaga Kesejahteraan Sosial Anak,['Panti Anak Mukim'],0,09 Jan 2019,02 Mar 2023,Sanari masdar,"Dusun Kreweh,Desa Gunungrejo RT 21 RW 06, Kec. Singosari, Biru, Gunungrejo, Kec. Singosari, Malang, Jawa Timur 65153,",,tempat tidur,['Infrastruktur'],,"['Pendidikan', 'Keagamaan']",2.0,30,10.0,20.0,2,2,,tidur,,Nurul Huda  tidur  Infrastruktur
343,Pondok Pesantren Yatim dan Tahfidz Jabal Rahmah Cirebon,Lembaga Kesejahteraan Sosial Anak,['Panti Anak Non Mukim'],0,12 Jan 2019,03 Mar 2023,Mujib Rahman,"Kepuh, Palimanan, Cirebon, Jawa Barat 45161, Indonesia",Pondok Tahfidz Yatim Jabal Rahmah Cirebon,lemari kasur dan bangku belajar,"['Fasilitas', 'Infrastruktur']",Mengumpulkan dan membina anak-anqk yatim ,"['Keagamaan', 'Minat/Bakat']",10.0,45,20.0,25.0,2,2,pondok tahfidz yatim jabal rahmah cirebon,lemari kasur bangku belajar,mengumpulkan membina anak anqk yatim,Pondok Pesantren Yatim dan Tahfidz Jabal Rahmah Cirebon pondok tahfidz yatim jabal rahmah cirebon lemari kasur bangku belajar mengumpulkan membina anak anqk yatim Fasilitas Infrastruktur
344,LKSA Putri Aisyiyah Margasari,Lembaga Kesejahteraan Sosial Anak,['Panti Anak Mukim'],0,13 Jan 2019,02 Mar 2023,Pimpinan Cabang Aisyiyah Margasari,Jalan Raya Margasari Rt 01 Rw 05 No.45 Desa Margasari Kecamatan Margasari Kabupaten Tegal Kode Pos 52463,"Panti ini berada di naungan Pimpinan Cabang Aisyiyah Margasari yang didirikan pada tanggal 26 Juni 2009, dengan sasaran anak yatim piatu, yatim, piatu, dan dhuafa. Jumlah anak 25 di dalam panti dan 8 anak di luar panti (Non Panti) dari berbagai daerah kabupaten tegal dan luar kabupaten tegal.","kebutuhan pokok anak, kebutuhan pendidikan anak",['Makanan'],"Bimbingan rohani, pembinaan karakter anak, ketrampilan, pendidikan anak",['Keagamaan'],15.0,33,0.0,33.0,1,1,panti naungan pimpinan cabang aisyiyah margasari didirikan tanggal 26 juni 2009 sasaran anak yatim piatu yatim piatu dhuafa anak 25 panti 8 anak panti non panti daerah kabupaten tegal kabupaten tegal,kebutuhan pokok anak kebutuhan pendidikan anak,bimbingan rohani pembinaan karakter anak ketrampilan pendidikan anak,LKSA Putri Aisyiyah Margasari panti naungan pimpinan cabang aisyiyah margasari didirikan tanggal 26 juni 2009 sasaran anak yatim piatu yatim piatu dhuafa anak 25 panti 8 anak panti non panti daerah kabupaten tegal kabupaten tegal kebutuhan pokok anak kebutuhan pendidikan anak bimbingan rohani pembinaan karakter anak ketrampilan pendidikan anak Makanan
